SKU,label (US)
rayban_aviator_or_vertFlash,Ray Ban RB3025  Aviator  Gold/ Green 
rayban_wayfarer_havane_vert,Ray-Ban Original Wayfarer Sunglasses  Tortoise Crystal Brown Polarized Frame / Polarized 50mm
rayban_wayfarer_denimOrange_orangeDegrade,Ray-Ban RB2140 Wayfarer Sunglasses Orange Jeans w/Orange Gradient (1165/3C) RB 2140 11653C 50mm
rayban_round_gun_vert,A-Roval Women Polarized Bardian Large Fashion Metal Sunglasses-C1
rayban_aviator_gun_vert,Trendy Semi Rimless Sunglasses For Women Men Gradient Temple Multi-Color Ray-Ban Glasses Driving Travel Sun Glasses
rayban_aviator_or_vert,Wsunglass W925 Men Women Sunglasses 58mm RB3025 (Green L0205  58)
rayban_round_cuivre_pinkBrownDegrade,Ray-Ban RB3447
rayban_erika_marronArgent_marronVioletDegrade,Ray-Ban Women's RB_4171_600068 Sunglasses  Brown  54-18-145
rayban_clubround_noir_cuivre_flash,Ray-Ban CLUBROUND - TOP WRINKLED BLACK ON BL Frame BROWN MIRROR PINK Lenses 51mm Non-Polarized
rayban_cockpit_or_vert_classique,Ray-Ban Cockpit Sunglasses RB3362 001-56 - Arista Frame  Crystal Green
rayban_justin_noir_rougeMirroir,RayBan RB4165 622/6Q Rubber Black/Brown Mirror Orange Size 54 mm Sunglasses
rayban_clubround_noir_vertClassique_g15,Ray-Ban CLUBROUND - BLACK Frame GREEN Lenses 51mm Non-Polarized
rayban_boyfriend_noir_marron_degrade,Ray-Ban RB4147 609585 BLack Frame / Dark Brown Gradient Lens 60mm
rayban_justin_marron_vertDegrade,Ray-Ban RB4165 854/7Z Justin Brown Rubber Frame / Green Gradient Lens
rayban_round_or_vert,Round Vintage Mirror Lenses UV Protection Unisex Sunglasses
rayban_justin_noir_bleuMirroir,Ray-Ban JUSTIN - BLACK RUBBER Frame GREEN MIRROR BLUE Lenses 55mm Non-Polarized
rayban_clubround_havaneNoir_vertClassique_g15,Ray Ban RB4246 1157 51 Spotted Black on Havana Round Sunglasses Bundle-2 Items
rayban_boyfriend_havane_marron_clair_degrade,Ray-Ban RB4147 710/51 Sunglasses Tortoise / Light Brown Gradient Lens 56mm
rayban_chris_gris_argent_argent_ mirroir,Ray-Ban Highstreet TOP MAT Black on RED Trasparent / Grey RB 4147 6171/87 60mm
rayban_new_wayfarer_havane_marron_clair_degrade,Ray-Ban Men's New Wayfarer Square Sunglasses  Light Havana  58 mm
rayban_predator_noir_gris_mirroir,Ray-Ban PREDATOR 2 - BLACK/ MATTE BLACK Frame CRYSTAL GREEN Lenses 62mm Non-Polarized
rayban_chris_noir_gun_bleu_ mirroir,Geometric Large Aviator Sunglasses Metal Frame Mod Fashion Eyewear (Pixel/Clear  55)
rayban_wayfarer_denimNoir_bleuMirroir,Ray-Ban Original Wayfarer Sunglasses (RB2140) Grey/Blue Acetate - Non-Polarized - 50mm
rayban_clubmaster_noir_bleuGris,Ray-Ban Clubmaster RB3016 - 120678 Polarized Sunglasses
rayban_wayfarer_denimBleuClair_bleuDegrade,Ray-Ban Original Wayfarer Sunglasses (RB2140) Blue/Grey Cloth/Denim - Non-Polarized - 50mm
rayban_justin_gris_argentDegrade,Ray Ban RB4165 852/88 55M Rubber Grey/Grey Transp./Grey Silver Mirror Gradient
rayban_new_wayfarer_havane_marronClassique_g15,Ray Ban Wayfarer RB2132 710 Havana/Crystal Brown Gradient Lens 52mm Sunglasses
rayban_predator_noir_vert_classique,Ray-Ban PREDATOR 2 - BLACK/ MATTE BLACK Frame CRYSTAL GREEN Lenses 62mm Non-Polarized
rayban_chris_havane_gun_vert_classique,Ray-Ban 4187 710/71 Tortoise 4187 Wayfarer Sunglasses Lens Category 3
rayban_doubleBridge_bleu_gradient_flash,Ray-Ban 0rb3647n Non-Polarized Iridium Round Sunglasses  Gold  51 mm
rayban_andy_violet_violet_mirroir,Ray-Ban Men's RB4387 Round Sunglasses  Dark Tortoise/Brown  56 mm
